isbn13,title,description,author
9788932924397,퀸의 대각선 1,"베르나르 베르베르가 신작 소설 『퀸의 대각선』으로 돌아왔다. 개인의 뛰어난 역량이 인류 진보의 원동력이라고 믿는 모니카와, 함께 뭉친 집단이 역사를 움직인다고 믿는 니콜, 두 여성이 국제 정치 무대에서 격돌하면서 벌어지는 일을 다룬 작품이다.","베르나르 베르베르 (지은이), 전미연 (옮긴이)"
9788932924403,퀸의 대각선 2,"베르나르 베르베르가 신작 소설 『퀸의 대각선』으로 돌아왔다. 개인의 뛰어난 역량이 인류 진보의 원동력이라고 믿는 모니카와, 함께 뭉친 집단이 역사를 움직인다고 믿는 니콜, 두 여성이 국제 정치 무대에서 격돌하면서 벌어지는 일을 다룬 작품이다.","베르나르 베르베르 (지은이), 전미연 (옮긴이)"
9788932924373,고요의 바다에서,"발표하는 작품마다 베스트셀러에 오르며 오늘날 가장 주목받는 SF 작가로 자리매김한 에밀리 세인트존 맨델의 신작 장편소설. 우리에게 삶에서 진정 중요한 것은 무엇인지, 종말에 가까운 위기 앞에서 어떤 선택을 하며 살아갈 것인지를 차분하게, 또 묵직하게 묻는다.","에밀리 세인트존 맨델 (지은이), 강동혁 (옮긴이)"
9791170611561,당신이 누군가를 죽였다,일본 최고의 베스트셀러 작가 히가시노 게이고의 장편소설『당신이 누군가를 죽였다』가 출간되었다. 작품은 장르문학계의 거장인 작가가 101번째 작품을 맞아 추리소설의 원점으로 돌아가 ‘황금시대 미스터리’의 매력을 유감없이 발휘한 걸작으로 평단과 독자의 호평을 받고 있다.,"히가시노 게이고 (지은이), 최고은 (옮긴이)"
9791165349837,3분만 바라보면 눈이 젊어진다 - 노벨상으로 증명된 ‘가보르 아이’ 업그레이드 완전판,"일본을 넘어 한국에서도 ‘가보르 아이’ 열풍을 불러왔던 《3분만 바라보면 눈이 좋아진다》의 업그레이드 버전이 드디어 출간되었다. 디지털 세상에서 현대인이 놓쳐서 안 될 유일무이 시력 개선법을 소개한다.
","히라마쓰 루이 (지은이), 김윤희 (옮긴이)"
9791162543825,"신독, 혼자 있는 시간의 힘 - 당신은 혼자 있는 시간을 무엇으로 채우는가?","‘다산의 마지막’ 시리즈, 《말 공부》 등으로 70만 독자들의 사랑을 받은 고전연구가 조윤제가 ‘신독’이라는 키워드로 돌아왔다. 신독은 ‘홀로 있을 때 도리에 어긋나지 않게 더욱 삼가다’라는 뜻으로, 개인 수양의 최고 단계로 꼽힌다. 혼자 있는 시간을 어떻게 보내며 그 시간을 무엇으로 채우는지가 한 사람을 완성하는 핵심이라는 것.",조윤제 (지은이)
9791141600167,가장 파란 눈,"흑인 여성 최초로 노벨문학상을 수상한 토니 모리슨의 데뷔작. 작가의 고향이기도 한 로레인을 배경으로, 파란 눈을 가지면 끔찍한 현실이 뒤바뀔 것이라고 믿은 흑인 소녀의 비극을 다룬 소설이다. 차별과 빈곤, 폭력이 대물림되는 흑인 사회의 슬픈 연대기가 어린아이들의 순수함과 대비되어 더욱 강렬하게 그려진다.","토니 모리슨 (지은이), 정소영 (옮긴이)"
9791172130879,멜라닌 - 제29회 한겨레문학상 수상작,오랜 시간 독자의 사랑을 받아온 한겨레문학상이 스물아홉 번째 수상작 《멜라닌》을 출간한다. 《멜라닌》은 파란 피부로 태어난 한국 베트남 혼혈 소년이 미국 이민을 통해 디아스포라적 상황을 겪는 성장소설이다.,하승민 (지은이)
9791193190142,사라진 아내가 차려 준 밥상,매드앤미러 프로젝트는 ‘매력적인 한 문장이 각기 다른 작가를 만날 때 어떻게 달라질까?’라는 재미있는 상상에서 시작한 텍스티의 프로젝트이다. 그 상상을 현실로 만들기 위해 20년 가까이 국내 장르 소설계를 지켜온 호러 전문 창작 집단 ‘매드클럽’과 환상문학웹진 ‘거울’이 만났다.,"구한나리, 신진오 (지은이)"
9791193780060,취향은 어떻게 계급이 되는가 - 주어진 삶에서 벗어나 나만의 방향을 찾아주는 안내서,"오랜 시간 부르디외와 취향이라는 두 가지 단어 사이에 고심한 저자는 우리에게 중요한 질문을 건넨다. 일상을 구성하는 취향이란 무엇인가? 사회 속에서 취향은 어떻게 작동하는가? 이 책을 통해 이와 같은 질문들의 해답을 찾아가다 보면, 세상을 새롭게 바라보는 프레임이 생길 것이다.",나영웅 (지은이)
9788925574820,기묘한 골동품 서점,수상할 정도로 오래된 런던 소서런 고서점 수습 직원의 판타지 같지만 전부 실화인 희귀 서적 세계 회고록. 21세기 디지털 시대의 ‘일반적인’ 서점의 제 기능을 하진 못하지만 그들만의 방식으로 가늘고 길게 유지되는 어느 특이한 헌책방에서 벌어지는 다채로운 삶의 이야기를 담았다.,"올리버 다크셔 (지은이), 박은영 (옮긴이)"
