isbn13,title,description,author
9791141137526,"우리는 무한한 우주를 건너 서로를 만났고 이 삶을 함께하고 있어 - 펫로스, 반려동물 애도의 기록","반려동물과 이별한 열 명의 반려인을 만나 상실과 슬픔을 겪어내는 애도의 과정을 그대로 글로 담아냈다. 주목할 만한 점은 반려견, 반려묘를 잃은 사람들뿐만 아니라 반려조, 반려묘(卯)와 이별한 사람들의 상실과 슬픔, 애도의 이야기를 실어 더 깊은 공감과 위로를 전한다.",최하늘 (지은이)
9788932924274,개와 고양이 의학 사전,일본에서 반려동물 연구와 활동에 관해 국가로부터 공익재단법인으로 인정받은 동물임상의학 연구소가 수의사 120명에게 집필을 의뢰하여 한 권으로 묶은 『개와 고양이 의학 사전』은 개와 고양이를 기르는 모든 보호자가 알아야 할 내용을 방대한 양으로 빼곡하게 채워 넣은 책이다.,"공익재단법인 동물임상의학 연구소 (지은이), 위정훈 (옮긴이), 서경원, 이종복 (감수)"
9788968572401,정원의 숙녀 컬러링북,"33편의 아름다운 정원 식물과 열매, 그리고 매력적인 여성의 초상이 어우러진 매력적인 컬러링북이다. 작가 윤주혜는 여성과 꽃, 새, 자연 등을 주제로 그림을 그리며, 인스타그램을 통해 많은 국내외 팬을 확보한 일러스트레이터다.",윤주혜 (지은이)
9791193528044,우리는 매일 죽음을 입는다,"패스트 패션으로 지구가 망하기 전에 우리가 먼저 죽을 수도 있다. 그 이유가 책에 나와 있다. 이 책은 우리가 매일 입는 옷에 숨겨진 끔찍한 진실을 밝히고, 그래서 우리가 어떻게 해야 하는지 제안한다. 무엇을 사고, 무엇을 사지 말아야 할지, 그리고 이 유독한 시스템을 어떻게 함께 바꿔 나가야 할지를.","올든 위커 (지은이), 김은령 (옮긴이)"
9791138364188,소워니놀이터와 함께 떠나는 띠부띠부 세계여행 - 떼었다 붙였다 하면서 즐기는 종이놀이 도안집 5탄,"떼었다 붙였다 하면서 즐기는 종이놀이 도안집 5탄. 총 10개 나라의 대표 문화를 띠부띠부 도안을 통해 간접적으로 체험해볼 수 있다. 도안을 만들 때 사용하는 도구와 재료의 사용법을 알아보고, 도안을 조립할 때 알아두면 좋은 기호와 소워니놀이터 친구들을 소개한다.",조윤성 (지은이)
9788931471274,사막여우 소금이의 신비한 여행 컬러링북,"소금이 작가의 두 번째 컬러링북 『사막여우 소금이의 신비한 여행 컬러링북』은 간식여행, 세계여행, 직업여행, 힐링여행 등 소금이와 소소가 함께 떠나는 신비한 여행을 주제로 하고 있다.",소금이 (지은이)
9791192987668,당신과 함께 나이 들고 싶어요 - 봄사무소의 색연필 컬러링 북,“귀엽고 통통하게 그려 드려요.” 제주 함덕에 있는 자그마한 소품 가게. 어디에서도 볼 수 없었던 독특한 그림체로 사상 초유의 초상화 웨이팅을 만들고 있는 작가 봄사무소의 컬러링 북이 출간되었다.,봄사무소 (지은이)
9791190635165,정원 디자인 대백과,"정원이 크든 작든 새로 만들든 기존 정원을 변형하든, 어느 상황에서도 적용할 수 있는 방대한 정보가 담겨 있다. 나에게 맞는 정원 스타일을 찾는 것부터 시작해 정원 디자인 프로세스와 기법을 익히고, 정원 구조물을 만들고 식물 심는 요령을 배운다.","크리스 영, 필립 클레이턴, 앤디 클레버리, 제니 헨디, 리처드 스니즈비, 폴 윌리엄스, 앤드류 윌슨 (지은이), 고은주 (옮긴이)"
9791160079999,털실타래 Vol.6 (2023년 겨울호),"〈털실타래〉는 현재 전 세계에서 큰 사랑을 받고 있는 최고의 뜨개 & 핸드메이드 잡지다. 이번에 출간되는 &lt;털실타래 Vol.6&gt;의 주제는 왠지 모르게 그리움을 자아내는 ‘노스탤지어 요크’로, 클래식하면서도 트렌디한 니트를 소개한다.","일본보그사 (지은이), 김보미, 김수연, 남가영, 배혜영 (옮긴이)"
9791167373465,멜로디 스타 연구실 - 일러스트랩 스티커북,"작가의 대표 일러스트 스티커는 물론, 일러스트에 담긴 스토리와 스티커를 장식할 수 있는 별면을 추가로 구성해 한층 업그레이드된 형식으로 꾸렸다. 개성 넘치는 작품으로 탄탄한 팬덤을 확보하고 있는 작가들의 작품 세계를 엿볼 수 있다.","쭈쭈해, 펌펌 (지은이)"
