isbn13,title,description,author
9791193080351,그래서 고등학교를 어디로 가야 할까요 - 중등 3년과 대입을 함께 잡아줄 가장 확실한 준비,"내 아이를 객관적으로 살펴보는 방법부터 모두가 궁금해하는 대표 학교 커리큘럼을 하나하나 짚어준다. 자사·특목고 입학 필수 코스인 1단계 서류 전형과 2단계 면접까지 어떻게 진행되고, 무엇을 어떻게 준비해야 하는지 과정을 하나씩 따라가본다.",정고은 (지은이)
9791141601140,건강하고 문화적인 최저한도의 생활 4,가족이 있음에도 떠돌이 생활을 하며 생활 보호를 신청한 시마오카. 생활 보호팀은 그의 생활 보호비 지급 여부를 두고 고민한다. 가족과 연락이 닿았다는 에미루의 말에 시마오카는 극도로 불안한 증세를 보이는데…! 그가 복지사무소에 말하지 못한 진실은 무엇일까?,"가시와기 하루코 (지은이), 하성호 (옮긴이)"
9791141601133,건강하고 문화적인 최저한도의 생활 3,,"가시와기 하루코 (지은이), 하성호 (옮긴이)"
9791170402763,미친 세상과 사랑에 빠지기,헤르만 헤세의 사유의 정수가 담긴 글들을 모은 선집 『미친 세상과 사랑에 빠지기』가 열림원에서 출간되었다. 열림원에서 새롭게 선보이는 총서 ‘열다’의 첫 번째 책이다.,"헤르만 헤세 (지은이), 박종대 (옮긴이)"
9791188554829,부케와 리스 - 사계절의 아름다움을 담은 식물 자수,"자수의 아름다움을 표현하기에 가장 좋은 소재인 식물. 꽃과 풀을 한 아름 소담하게 모은 부케와 원형으로 조화롭게 엮은 리스는 보기만 해도 설렘을 느끼게 한다. 이 책에서는 21명의 자수 작가가 참여해 총 99가지 부케와 리스를 선보인다. 작품 화보와 함께 사용된 실과 기법, 실물 크기 도안이 실려 있어 누구나 손쉽게 작품을 수놓을 수 있다.","가와데쇼보신사 편집팀 (엮은이), 김한나 (옮긴이)"
9791193153307,뭉크의 별이 빛나는 밤 - 고독 속 절규마저 빛나는 순간,세기의 전환기에 현대 미술에 가장 큰 영향을 미친 화가 중 하나로 꼽히는 에드바르 뭉크(1863년~1944년). 올해는 뭉크가 사망한 지 80주기를 맞이하는 해이다. 『뭉크의 별이 빛나는 밤』은 우리가 몰랐던 표현주의의 거장 뭉크의 삶 속으로 우리를 초대한다.,이미경 (지은이)
9791189385514,"조용한 여행 - 서두를 것도 꼭 해야 하는 일도 없는, 오래 바라보고 가만히 귀 기울이는 여행","핫플레이스, 유명 맛집과는 거리가 먼, 낯선 곳에서의 시간을 오래 곱씹고 가만히 묵히는 ‘조용한 여행’이라는 여행의 태도. “어떤 여행지는 기사로 쓰지 않고 마음속에만 간직하고 싶다.” 까다로운 신문기자의 고르고 고른 여행 이야기.",최승표 (지은이)
9791193022580,무빙 대본집 3,초능력을 숨긴 채 현재를 살아가는 아이들과 과거의 아픈 비밀을 숨긴 채 살아온 부모들이 시대와 세대를 넘어 거대한 위험에 함께 맞서는 한국형 액션 히어로물 「무빙」 대본집이 미디어창비에서 출간된다. 강풀 작가의 동명의 웹툰을 원작으로 한 「무빙」은 원작자인 강풀 작가가 직접 극본을 집필하여 원작의 정수를 살리면서도 드라마만의 오리지널리티를 극대화해 비교불가한 웰메이드 드라마를 탄생시켰다.,강풀 (지은이)
9791193022573,무빙 대본집 2,초능력을 숨긴 채 현재를 살아가는 아이들과 과거의 아픈 비밀을 숨긴 채 살아온 부모들이 시대와 세대를 넘어 거대한 위험에 함께 맞서는 한국형 액션 히어로물 「무빙」 대본집이 미디어창비에서 출간된다. 강풀 작가의 동명의 웹툰을 원작으로 한 「무빙」은 원작자인 강풀 작가가 직접 극본을 집필하여 원작의 정수를 살리면서도 드라마만의 오리지널리티를 극대화해 비교불가한 웰메이드 드라마를 탄생시켰다.,강풀 (지은이)
9791193022566,무빙 대본집 1,초능력을 숨긴 채 현재를 살아가는 아이들과 과거의 아픈 비밀을 숨긴 채 살아온 부모들이 시대와 세대를 넘어 거대한 위험에 함께 맞서는 한국형 액션 히어로물 「무빙」 대본집이 미디어창비에서 출간된다. 강풀 작가의 동명의 웹툰을 원작으로 한 「무빙」은 원작자인 강풀 작가가 직접 극본을 집필하여 원작의 정수를 살리면서도 드라마만의 오리지널리티를 극대화해 비교불가한 웰메이드 드라마를 탄생시켰다.,강풀 (지은이)
9788946422834,"서핑, 별게 다 행복 - 내일은 내일의 파도가 온다","아잉 시리즈 다섯 번째 책 《서핑, 별게 다 행복》은 서핑을 배우며 순수한 기쁨을 느끼고, 남해 바다의 품에서 삶의 안정감을 찾게 된 3년 차 서퍼의 이야기를 담은 에세이다. 서퍼가 지켜야 할 에티켓, 서핑숍 이용법 등이 잘 설명되어 있다.",박수진 (지은이)
9791192097886,"내 아이를 위한 매터링 코칭 - 미국 교육계가 권하는 신개념 양육, 매터링의 비밀","왜 지금 미국 교육계는 '매터링'에 열광하는가? 마음 면역력이 강한 아이로 키우려면 아이의 가치를 일깨워야 한다. 학교생활이 행복한 아이, 자신의 가치를 아는 아이, 실패를 두려워하지 않는 아이에게는 '매터링' 감각이 있다. 경쟁 교육 사회 속 지친 아이들의 태도를 바꾼 육아서.","제니퍼 월리스 (지은이), 조경실 (옮긴이)"
9788958070153,나는 왜 집중을 못할까? - 십대의 행동 뒤에 숨은 뇌의 비밀,"청소년들의 좌충우돌하는 현실을 담은 실제 사례와 카툰, 집중력과 공감 능력 등을 체크해 볼 수 있는 테스트, 쉽고 재미있는 설명을 읽어 가다 보면 청소년 스스로 자신의 뇌를 알아 가고 자신이 원하는 어른이 되는 방법을 찾을 수 있을 것이다.","니콜라 모건 (지은이), 김인경 (옮긴이)"
9791159258787,서양 검술 메모 - 창작자를 위한 르네상스 유럽 무술의 이해,"중세 서양을 배경으로 하거나, 검과 검술, 무술을 다루는 작품을 만드는 창작자들을 위해 르네상스 유럽 무술과 그 원리에 대한 기본적인 이해를 제공하는 책이다. 실전 창작에서 응용할 수 있는 가장 기본적이고 핵심적인 원리를 집약했다.",PIRATA (지은이)
9788932510378,복음과 하나님 나라 - 성경신학적 구약 해석법,"골즈워디 복음 시리즈 1권. 세계적 성서학자 그레엄 골즈워디의 대표작 출간 35주년 기념 리뉴얼판이다. 창세전에 계획하신 하나님 나라가 구약과 신약에 각각 어떤 모습으로 약속되고 성취되었으며, 또한 마지막 완성을 향해 어떻게 나아가고 있는지 그려 내고 있다.","그레엄 골즈워디 (지은이), 김영철 (옮긴이)"
9788958722304,오늘의 토스카나 레시피 - Bella vita Siena 없는 것을 갈망하지 않고 주변을 둘러보는 삶에 관하여,"권순환 셰프의 요리를 향한 열정과 그의 아내 윤수지의 시에나에서의 삶을 가감 없이 진솔하게 담고 있다. 한국과 전혀 다른 문화적 차이에 차근차근, 느릿느릿 스며드는 이야기다.","권순환, 윤수지 (지은이)"
9788937456312,이어지는 이야기,영국 《타임스》의 문예 부록인 《타임스 리터러리 서플먼트》가 선정하는 “현재 영국에서 가장 중요한 작가”로 뽑힌 앨리 스미스의 걸작 ‘계절 4부작’에 이은 자매편인 『이어지는 이야기』가 민음사에서 출간되었다. ‘계절 4부작’은 브렉시트 이후 격변하는 영국 사회의 현재를 담기 위해 앨리 스미스가 펭귄 출판사와 기획한 프로젝트이다.,"앨리 스미스 (지은이), 김재성 (옮긴이)"
9791170830825,히브리어의 시간,"히브리어를 통해 성경의 깊은 맛을 음미하는 시간이면서, 동시에 히브리어가 쓰이던 성경의 시간을 뜻한다. 하나님이 히브리어로 말씀하시는 이유는 간단하다. 이 언어로 말씀하셔야 성경 시대에 살던 사람들이 가장 잘 이해할 수 있었기 때문이다.",송민원 (지은이)
9788932119106,알렉산드리아의 사자 - 복음서의 탄생,"예루살렘의 평범한 소년, 예수님의 생애를 담은 최초의 복음서를 쓰다! 복음서의 탄생 비밀을 담은 전기 소설이다.","장필리프 파브르 (지은이), 이정은 (옮긴이), 허영엽 (감수)"
9788949182094,선아의 기분은 록쇽쇽 - 제3회 비룡소 동시문학상 대상작,"동시의 지평을 넓힌「최승호 시인의 말놀이 동시집」, 국내 대표 시인들의「동시야 놀자」 시리즈 등 개성 있고 독보적인 동시집을 선보여 왔던 비룡소가 제3회 비룡소 동시문학상 대상작 『선아의 기분은 록쇽쇽』을 출간하였다. 어느 때보다 작품 수준이 높았던 123편의 응모작 가운데 대상으로 선정된 이 동시집은 본인만의 유일무이한 고유성이 눈에 띄게 빛난다고 호평받았다.","박진경 (지은이), 간장 (그림)"
9791171712441,소맥거핀 일상 만화 1,동글 말랑 귀여운 캐릭터로 한국뿐 아니라 전 세계 사람들의 사랑을 한 몸에 받는 소맥거핀의 첫 번째 코믹스가 출간되었다. 〈소맥거핀의 일상 만화〉는 누구나 공감하는 주제를 아무나 따라 할 수 없는 독특한 개그 감각으로 그려 낸 소맥거핀의 일상 만화 애니메이션을 엄선해 만들었다.,"윤종문 (지은이), 소맥거핀 (원작), 샌드박스네트워크 (감수)"
